date,close,high,low,open,volume
2020-02-07,1581.786865234375,1585.620361328125,1576.2410888671875,1582.213134765625,1305750
2020-02-08,1578.8697509765625,1587.325439453125,1567.6246337890625,1581.8441162109375,1609288
2020-02-09,1578.7022705078125,1590.733154296875,1572.6181640625,1578.8800048828125,575041
2020-02-10,1572.435546875,1594.563720703125,1560.7193603515625,1579.3189697265625,123025
2020-02-11,1563.4083251953125,1617.188720703125,1546.927001953125,1572.39892578125,340994
2020-02-12,1565.3323974609375,1573.8603515625,1547.2393798828125,1563.29150390625,171450
2020-02-13,1580.9013671875,1581.4073486328125,1560.2008056640625,1565.3323974609375,17277
2020-02-14,1582.0643310546875,1587.1624755859375,1578.18212890625,1581.1007080078125,5237
2020-02-15,1583.6197509765625,1595.717529296875,1579.4227294921875,1582.0643310546875,76684
2020-02-16,1589.98974609375,1607.036865234375,1583.177978515625,1583.5303955078125,12367
2020-02-17,1590.1373291015625,1599.901611328125,1581.7769775390625,1592.5643310546875,10548
2020-02-18,1602.939697265625,1604.2567138671875,1587.2767333984375,1589.8739013671875,236567
2020-02-19,1611.93017578125,1628.05615234375,1596.452880859375,1602.9495849609375,696504
2020-02-20,1615.976318359375,1626.18017578125,1604.4095458984375,1611.593505859375,250707
2020-02-21,1644.4837646484375,1644.9652099609375,1613.4078369140625,1616.119384765625,2276523
2020-02-22,1639.0880126953125,1645.294189453125,1631.15625,1644.4930419921875,826465
2020-02-23,1663.7578125,1669.6197509765625,1633.134521484375,1639.0880126953125,445667
2020-02-24,1654.301513671875,1685.3599853515625,1649.65380859375,1663.53369140625,980460
2020-02-25,1637.067626953125,1665.0052490234375,1630.796630859375,1654.2275390625,973525
2020-02-26,1647.01025390625,1666.29052734375,1620.0098876953125,1636.9635009765625,771693
2020-02-27,1641.4820556640625,1666.59619140625,1622.662353515625,1646.0126953125,192060
2020-02-28,1579.69287109375,1653.2557373046875,1571.778564453125,1641.4971923828125,1151262
2020-02-29,1577.8896484375,1587.33251953125,1577.561279296875,1579.1822509765625,23717
2020-03-01,1585.67041015625,1599.113525390625,1566.1229248046875,1577.4239501953125,283093
2020-03-02,1588.1905517578125,1612.4207763671875,1582.226318359375,1585.79541015625,131475
2020-03-03,1643.876708984375,1645.8900146484375,1588.0465087890625,1588.0465087890625,154581
2020-03-04,1642.8939208984375,1650.282470703125,1627.3604736328125,1646.111328125,95236
2020-03-05,1667.5936279296875,1672.8111572265625,1478.660888671875,1643.0028076171875,327861
2020-03-06,1671.6956787109375,1689.72412109375,1651.92431640625,1667.6982421875,1201058
2020-03-07,1675.0655517578125,1677.468017578125,1667.962890625,1671.1573486328125,463536
2020-03-08,1711.135009765625,1711.3892822265625,1667.570556640625,1675.0655517578125,3721048
2020-03-09,1673.2069091796875,1710.6343994140625,1660.39111328125,1710.6343994140625,1633873
2020-03-10,1651.578125,1678.6641845703125,1642.231689453125,1674.2103271484375,845953
2020-03-11,1632.7611083984375,1669.9464111328125,1628.80224609375,1651.4581298828125,859541
2020-03-12,1632.6500244140625,1793.4490966796875,1568.425048828125,1632.845703125,25149343
2020-03-13,1525.7442626953125,1658.731201171875,1433.16064453125,1632.0501708984375,9019585
2020-03-14,1590.165283203125,1646.9993896484375,1516.2664794921875,1528.6636962890625,8732370
2020-03-15,1570.36962890625,1597.8975830078125,1537.15576171875,1590.165283203125,4319257
2020-03-16,1506.3104248046875,1595.3980712890625,1446.254150390625,1567.8602294921875,4387751
2020-03-17,1506.808349609375,1534.2705078125,1430.6002197265625,1506.098388671875,211034
2020-03-18,1466.926513671875,1535.744140625,1463.146728515625,1503.7005615234375,525131
2020-03-19,1482.0904541015625,1504.0157470703125,1427.986083984375,1466.926513671875,1222735
2020-03-20,1471.0550537109375,1536.50390625,1408.88232421875,1481.8118896484375,1211951
2020-03-21,1553.4210205078125,1755.97802734375,1471.0550537109375,1471.0550537109375,327036
2020-03-22,1529.0479736328125,1645.4078369140625,1527.33251953125,1553.7119140625,120906
2020-03-23,1587.7000732421875,1613.2340087890625,1527.037353515625,1529.0479736328125,543741
2020-03-24,1648.3165283203125,1669.6104736328125,1576.59375,1587.938232421875,593061
2020-03-25,1668.513427734375,1678.199462890625,1643.4163818359375,1648.3135986328125,537284
2020-03-26,1656.48974609375,1680.9549560546875,1653.31640625,1668.513427734375,121312
2020-03-27,1661.6790771484375,1672.72802734375,1643.359375,1656.6011962890625,215696
2020-03-28,1661.507080078125,1679.532470703125,1640.017822265625,1661.716552734375,113066
2020-03-29,1682.9617919921875,1686.336669921875,1655.6485595703125,1661.8035888671875,159853
2020-03-30,1660.0975341796875,1692.0439453125,1636.4990234375,1682.09375,326093
2020-03-31,1626.8544921875,1678.4959716796875,1619.30029296875,1659.930908203125,256349
2020-04-01,1634.1783447265625,1646.2789306640625,1599.59326171875,1626.8544921875,291505
2020-04-02,1637.3074951171875,1640.072509765625,1603.206298828125,1630.3458251953125,290954
2020-04-03,1641.2127685546875,1642.392333984375,1626.168701171875,1637.6021728515625,94262
2020-04-04,1659.0482177734375,1679.9879150390625,1630.7646484375,1640.999267578125,289496
2020-04-05,1662.0889892578125,1664.9295654296875,1649.9385986328125,1658.947509765625,60460
2020-04-06,1684.4415283203125,1686.573486328125,1639.169677734375,1662.4044189453125,343989
2020-04-07,1665.1243896484375,1690.3631591796875,1661.2264404296875,1684.4830322265625,480020
2020-04-08,1663.8798828125,1677.83154296875,1648.0616455078125,1665.28076171875,50825
2020-04-09,1672.2393798828125,1683.175537109375,1658.4122314453125,1663.10693359375,232540
2020-04-10,1667.00390625,1690.2098388671875,1665.311767578125,1672.353759765625,92712
2020-04-11,1664.6942138671875,1679.13134765625,1651.6197509765625,1667.00390625,493407
2020-04-12,1671.8013916015625,1690.3648681640625,1651.7744140625,1664.245361328125,94726
2020-04-13,1706.6383056640625,1715.6986083984375,1659.375,1670.3131103515625,773178
2020-04-14,1717.8123779296875,1728.00244140625,1701.62744140625,1706.6383056640625,723344
2020-04-15,1707.1798095703125,1722.556396484375,1697.5675048828125,1717.6883544921875,244578
2020-04-16,1700.46923828125,1721.1842041015625,1690.7117919921875,1706.9808349609375,840639
2020-04-17,1686.729248046875,1717.4481201171875,1681.265869140625,1699.7315673828125,300855
2020-04-18,1672.864013671875,1693.185791015625,1661.361328125,1686.729248046875,457081
2020-04-19,1673.0228271484375,1697.80810546875,1659.21337890625,1672.444091796875,628796
2020-04-20,1676.6856689453125,1697.1279296875,1667.1866455078125,1672.7822265625,319274
2020-04-21,1662.3787841796875,1688.5528564453125,1657.0787353515625,1677.4298095703125,63748
2020-04-22,1694.3394775390625,1708.7626953125,1661.996826171875,1662.5885009765625,93131
2020-04-23,1713.2208251953125,1724.668701171875,1693.6226806640625,1694.2900390625,897240
2020-04-24,1734.6575927734375,1750.829345703125,1712.7972412109375,1713.0904541015625,1705224
2020-04-25,1752.6944580078125,1753.3614501953125,1721.7259521484375,1734.6776123046875,1243034
2020-04-26,1752.06298828125,1773.0748291015625,1737.4537353515625,1752.844482421875,808083
2020-04-27,1734.4361572265625,1761.074951171875,1713.0572509765625,1752.06298828125,1879259
2020-04-28,1733.1156005859375,1745.6666259765625,1713.3026123046875,1734.929931640625,1240842
2020-04-29,1741.20263671875,2040.3658447265625,1710.427734375,1732.04150390625,12952071
2020-04-30,1708.8255615234375,1758.4766845703125,1646.70654296875,1739.4744873046875,300792
2020-05-01,1695.615966796875,1714.8671875,1676.4525146484375,1708.8255615234375,194932
2020-05-02,1704.5833740234375,1717.836669921875,1687.4381103515625,1695.6629638671875,371934
2020-05-03,1692.6104736328125,1704.8182373046875,1678.8377685546875,1704.6783447265625,245043
2020-05-04,1700.7659912109375,1709.8187255859375,1683.9326171875,1692.7332763671875,224865
2020-05-05,1704.31787109375,1707.990234375,1687.7608642578125,1700.8785400390625,86009
2020-05-06,1697.5130615234375,1708.1365966796875,1684.398681640625,1704.31787109375,552051
2020-05-07,1701.8365478515625,1729.6778564453125,1676.1317138671875,1697.5130615234375,600975
